127.0.0.1, 2017-04-26 18:30:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-04-26 18:30:52, GET, /admin/default/peek/Carpool/models/db.py, HTTP/1.1, 200, 0.380000
127.0.0.1, 2017-04-26 18:30:53, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:31:01, GET, /admin/default/edit/Carpool/models/db.py, HTTP/1.1, 200, 0.313000
127.0.0.1, 2017-04-26 18:31:03, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.251000
127.0.0.1, 2017-04-26 18:31:03, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2017-04-26 18:31:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.612000
127.0.0.1, 2017-04-26 18:31:04, GET, /admin/default/files_menu, HTTP/1.1, 200, 1.430000
127.0.0.1, 2017-04-26 18:31:04, GET, /admin/default/edit/Carpool/models/db.py, HTTP/1.1, 200, 1.078000
127.0.0.1, 2017-04-26 18:31:04, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.154000
127.0.0.1, 2017-04-26 18:31:05, GET, /Carpool/appadmin/hooks, HTTP/1.1, 200, 2.194000
127.0.0.1, 2017-04-26 18:31:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.199000
127.0.0.1, 2017-04-26 18:31:13, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 1.717000
127.0.0.1, 2017-04-26 18:31:33, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.220000
127.0.0.1, 2017-04-26 18:31:40, POST, /admin/default/edit/Carpool/models/db.py, HTTP/1.1, 200, 0.129000
127.0.0.1, 2017-04-26 18:31:48, GET, /admin/default/design/Carpool, HTTP/1.1, 200, 1.307000
127.0.0.1, 2017-04-26 18:31:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:32:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.307000
127.0.0.1, 2017-04-26 18:32:05, GET, /Carpool/appadmin/hooks, HTTP/1.1, 200, 2.137000
127.0.0.1, 2017-04-26 18:32:14, POST, /admin/default/edit/Carpool/models/db.py, HTTP/1.1, 200, 0.151000
127.0.0.1, 2017-04-26 18:32:15, POST, /admin/default/edit/Carpool/models/db.py, HTTP/1.1, 200, 0.155000
127.0.0.1, 2017-04-26 18:32:33, GET, /admin/default/peek/Carpool/controllers/default.py, HTTP/1.1, 200, 0.283000
127.0.0.1, 2017-04-26 18:32:35, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-04-26 18:32:42, GET, /admin/default/edit/Carpool/controllers/default.py, HTTP/1.1, 200, 0.272000
127.0.0.1, 2017-04-26 18:32:44, GET, /favicon.ico, HTTP/1.1, 400, 0.009000
127.0.0.1, 2017-04-26 18:32:44, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.281000
